Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 34",1 этаж,125040,,Беговой,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.6,8,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001077632234,55.785637,37.569502,4504235282646733,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001077632234,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
FreshClass,,Продуктовые магазины,"Ленинградский проспект, 29 к1",,125284,,Беговой,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,1,89168282521,,,,,,http://t.me/freshclass_freshclass,,,,,,,,,,,,https://vk.com/freshclass.shop,,,,,,,,,,,,,,,,,,70000001097020276,55.785428,37.562905,4504235312286788,,,1,70000001097020275,FreshClass,,Продуктовые магазины,shop,1,8,2026-02-04T14:01:59Z,,0,32,https://2gis.com/firm/70000001097020276,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 33а",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,35,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001038757561,55.78836,37.557954,4504235282641598,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:11Z,,0,32,https://2gis.com/firm/70000001038757561,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Продуктовый магазин,,Продуктовые магазины,"5-я улица Ямского Поля, 23 к1",цокольный этаж,125124,,Беговой,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 10:00-23:00,+03:00,,,84995300681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001028569268,55.788351,37.577051,4504235282549706,,,1,70000001028569267,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-01-29T10:35:50Z,,0,32,https://2gis.com/firm/70000001028569268,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Бумажный проезд, 4",1 этаж,125040,,Беговой,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,12,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001068612356,55.786399,37.586073,70030076171015349,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:28Z,,0,32,https://2gis.com/firm/70000001068612356,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, вл35",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,28,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001063953359,55.789645,37.551305,4504235302451692,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:24Z,,0,32,https://2gis.com/firm/70000001063953359,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Нижняя Масловка, 5",1 этаж,127015,,Беговой,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,27,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001071197418,55.79177,37.583852,4504235282647286,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:30Z,,0,32,https://2gis.com/firm/70000001071197418,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, вл35",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,5,88007777290,84957775190 (доп.4101),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001077724707,55.789678,37.550754,4504235302451692,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001077724707,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Parle,минимаркет,Продуктовые магазины,"улица Правды, 26",1 этаж,125124,,Беговой,Москва,,Москва,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+03:00,4.6,11,89032923239,,,,,,http://parlemarket.ru,,,,,,,,,,,,https://vk.com/public171836704,,,https://wa.me/79032923239,,,,,,,,,,,,,,,70000001066982524,55.790521,37.584577,4504235282746830,БЦ Северное Сияние,,33,70000001034930232,Parle,минимаркет,Продуктовые магазины,shop,1,6,2026-02-18T15:38:25Z,,0,32,https://2gis.com/firm/70000001066982524,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Продуктовый магазин,,Продуктовые магазины,"Беговая улица, 14",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001094078526,55.777159,37.556305,4504235282553928,,,1,70000001094078525,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,3,2026-01-27T13:20:24Z,,0,32,https://2gis.com/firm/70000001094078526,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Мини-маркет,,Продуктовые магазины,"улица Нижняя Масловка, 5 к1",1 этаж,127015,,Беговой,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,3,89684736803,,,,,,,,,,,,,,,,,,,,,https://wa.me/79684736803,,,,,,,,,,,,,,,70000001031305299,55.791556,37.584395,4504235282647295,,,1,70000001031305298,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,5,2026-05-22T13:26:29Z,,0,32,https://2gis.com/firm/70000001031305299,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
Магазин продуктов,,Продуктовые магазины,"2-й Боткинский проезд, 5 ст27",,125284,,Беговой,Москва,,Москва,Россия,Пн: 07:30-19:00; Вт: 07:30-19:00; Ср: 07:30-19:00; Чт: 07:30-19:00; Пт: 07:30-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+03:00,4.2,1,89911069960,89913032984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001075837842,55.778755,37.551922,4504235282782588,,,1,70000001075837841,Магазин продуктов,Магазин продуктов,Продуктовые магазины,shop,1,7,2025-08-18T10:42:34Z,,0,32,https://2gis.com/firm/70000001075837842,branch,22,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726542
